idx,pw_len,pt_len,enc_time_s,dec_time_s,correct,cpu_before,cpu_after,mem_before_mb,mem_after_mb,cipher_digits,cipher_bytes_len,cipher_entropy,chi2,chi_p,serial_corr,runs_p
31,19,5,0.20986010000342503,0.22096710000187159,0,0.0,29.5,207.69921875,207.69921875,021193022243095184254217181004245050230035181079210206019098211135017056161180187070045178127181111231048191177184016148181108200051186225233192186090019187045225017156002181011033,60,5.480063254367905,341.06666666666666,0.00025097586238133205,-0.28769850725786184,0.7813056834756391
32,16,14,0.21405320000485517,0.23425259999930859,0,0.0,30.5,207.69921875,207.69921875,084129221134225116024105016203136211099097158101151174108122113108140132017220186243045075160128048208235134210194132109218046038214016048201049108217162072180063073162236101190065214150243057175129235044147108229219143040251097213048099048074217105072180245053061067018186132208075247078169167140134078108229195137079038164098203099099106028059122198245255089236101116164214060069128048098217041179151227095222046221214213054204002143028108029199013053065067220116065240056247075169129140158228194229167,168,6.459768074562103,392.76190476190476,6.334002699138257e-08,-0.14332556025107568,0.29420093257635127
33,11,5,0.2059039999730885,0.22631970001384616,0,50.0,22.5,207.69921875,207.69921875,109250022017010217161128019077003003250217171086153212004212231232156240191006252239205185093093028004037007060028154013179179142095031168038086153071050207173022098125036029092133,60,5.540223928941852,289.8666666666667,0.06579178760399643,0.21783087507392804,0.6501478313541409
34,9,17,0.2138279000064358,0.21630739999818616,0,0.0,35.4,207.69921875,207.69921875,149117224012239241138159014091121165078188102219060082203158095010095255130022032087049243090228035195221209145017152002177255237172078003129029230198104115061010051255047203239039225243035157229023224168008122195053007237169232197122182109069198095058153067051064086160150152225080083255206195221168053181243002074102078008037167034127069098104058047174067064040043171039106080149057206117121186008181046075177255169113197204182001069191203040233104184064139022123087049243030255149202027124053122244089014157237099021160129029138130004088061174095212130102230060026087229255035005221049239188046150007237148099,204,6.679853910642171,375.7647058823529,1.2484254702638332e-06,-0.08445538805789427,0.2038712849895683
35,13,18,0.227077100018505,0.1792264000105206,0,0.0,33.5,207.69921875,207.69921875,101047152073210110168223154206085249175151060005019063162088109248225079041098095152113031225156170047219091141222209125001074138166190151227032073186162109211248212055118210095040086015123209170159152108244091156062093206138129155041068072220124231088020187018144118145003028068015039244239128101073244075168128093075085249190041227072204186125074021062225055118136189194068030212244116220135249245110156098154108242071052200185181010170187088144063081078212205196219183015062244082026194124245132185062001126016071155106044048205187090088020046172122142086064101112030225034101220194004245091169223155075191249214117250005235032090171211025018202,216,6.774851203510448,348.14814814814815,9.317358586178984e-05,0.02063040584725547,0.2378820256314662
36,17,14,0.204047500010347,0.2200023000186775,0,0.0,23.5,207.69921875,207.69921875,126252080023151218084061043112244031086205038028249244191168233108222140076030044124228002177229193189147117093011198016248077131157077033079191249075038233233103141095188030044238147161098027045189131117014121135045032207225120077012151170236201254086128254071205213135192124134081079090045047147133254108068074006156066031063158079079144210236123128254097205169030192011118081114090155088174058254121095175092077174004207007051191009010254123233173076095222161118108118200079229236189136023014200121238,168,6.5028937441920815,383.6190476190476,3.2418460371888285e-07,0.00325063617277883,0.05182699972203242
37,10,5,0.21037519999663346,0.20851819997187704,0,0.0,20.7,207.69921875,207.69921875,025246227009105245162172181043060173033090127018148120149069128061070060105097034015251168221168035158141034098083152172246156000238033025129018191239096069060126062141211090198179,60,5.460975803905794,315.4666666666667,0.005867142033400771,-0.016308225385421347,0.7733196615357136
38,20,31,0.22153589999652468,0.21194209999521263,0,0.0,19.6,207.69921875,207.703125,125150180039201037245200231185195188093133084133093020178014127209107017123048169135101153142112030115047041181118137196248167074156002165084077044020195030127118121017026065032135143135239165001083213237028023013196060125191118153165116183127026156030183207121033091097202198101149116012125067213055201039094000034183090172250111021133183189071251077239056017226048213153143135158133133067245237214055013202231167090118083149021137168022195228044118188096073171000183075062190167001077180039018055124000099167104178099149116133093022071135183010163063129081169135236135239133125150213242012142150200002135074172093012116137127004156046212207121049091099169153020167107181133115213055012142092200050098191178115133070183183004195046168207089251075081081153075153174165228115180055028037150099099185106118067133021135127052162044077142192033107111048066143167116171030083231055214237092031099098160237002181084214212036162127115021163096091081002167143093142171030083213242044023137099099230160118134149084082168193059135044255105017129171002167117167107012133018047237201023076031034125160172099133084214168069195046,372,6.762515595527283,702.9247311827957,1.519092961302606e-43,-0.08698977220733692,0.018891067798192163
39,18,32,0.18745120000676252,0.19388120001531206,0,0.0,19.4,207.70703125,207.71875,216165138016155167196021144175068238233023077085184181053184024029076174012098168209018210238109062202138029252200233135122192075007011028077088094181209064053160071060104143023067146095107132218071110143021195185149144203201007091153164050179210138064135175076060012013125053118221096132062072136031113039178135029047173225228115070085092181209064110070076188229141026211018059022139053032010242021200178241016069219137000254041090184092056082024200028131012105125053118221107102176074135249252195185241244144246227142023070050081056181061135175076060012013125053118221096132072216024249078195178250130175035137011241059183094210095208024175201188234098021211018059096132090165053029099039196241018175219099142023171202220042218184138200163049122128243053018181238137216174224162030077084127255192035007091243077090206092053109110029028060130105248187159095004102062074110162021042178170175034219007118115059050184181053109053034201211012098026067248221137109176072053162021200060127018144035225228028077216206181055064110070028131229128168211045059059102072174136119030039178021255175246012118028070088227042209208110077174174130143026053248221059054,384,6.925293296261148,597.3333333333333,1.631708034824326e-29,0.021120836952909196,0.15374838639712984
40,12,26,0.19713980000233278,0.23090890000457875,0,0.0,21.2,207.71875,207.71875,106005175245242081242195248191114066174194254153201046080006021156111234212003169182041100071171078184143033151121187114043042138178031172184153120152053155054001253026145003125035241001159171008221143068151089183231073079207223174140254145197152197064164001217172212032169158183072147054219221087188209089187161000009195039031172064189120104168210021009076172244157204035183001218083078107050151242089010231157183023066203160064244197076168099136001159201145243052158183218001029070221202103151060242023000042023150031132064012029152197176112009241084105032081240183001241171035037175103103161242161157151207223031116096105229046168099198045209234012157089182241249241115008107143068079231111231069183023066059017096105128005205006128001209026216069204070041108001171070221143151010081111161157210138004174194254153128064205176021001253084216243169000001068147115248037175151242231010207157009081039059172037105171104053006054191217116,312,6.818136572566049,529.8461538461538,2.101505557781367e-21,-0.05437433207960446,0.3111786085017403
